Tên ngân hàng;Tên chi nhánh
;
Bangkok Bank;Ha Noi
Bangkok Bank;Ngân Hàng BANGKOK  BANK CN TP Hồ Chí Minh
Bank of China;BANK OF CHINA Hồ Chí Minh City Branch
Bank of Communications;Bank of Communications CN TP Hồ Chí Minh
BNP Paribas Bank HCM;BNP-PARIBAS TP HCM
China Construction Bank Corporation;China Construction Bank Corporation CN TP HCM
Citi Bank Ha Noi;CITI BANK Ha Noi
Citi Bank Ha Noi;TP HCM
Citi Bank TP HCM;Ngân hàng Citibank N.A Chi nhánh TP Hồ CHí Minh CN TP Hồ Chí Minh
Commonwealth Bank of Australia;TP HCM
"Công ty cổ phần chuyển mạch tài chính quốc gia Việt Nam
";NAPAS Ha Noi
Credit Agricole Corporate and Investment Bank;CN Hà Nội
Credit Agricole Corporate and Investment Bank;CN TP Hồ Chí Minh
Đại chúng TNHH Kasikornbank - Chi nhánh TP. HCM;Chi nhánh TP Hồ Chí Minh
DBS Bank Ltd;DBS Bank Ltd CN TP Hồ Chí Minh
Deutsche Bank;DEUTSCHE BANK TP HCM
Deutsche Bank;TP HCM
First Commercial Bank;NH Fist Commercial Bank CN TP Hồ Chí Minh
First Commercial Bank Ha Noi;First Commercial Bank Hà Nội CN Hà Nội
Hua Nan Commercial Bank;Hua Nan Commercial Bank TP HCM
ICB of China CN Ha Noi;Industrial and Commercial Bank of China CN Hà Nội
Indovina Bank;CN Bình Dương
Indovina Bank;CN Ha Noi
Indovina Bank;Indovina Bank Can Tho
Indovina Bank;Indovina Bank CN Bến Thành
Indovina Bank;Indovina Bank CN Bình Dương
Indovina Bank;Indovina Bank CN Cho Lon
Indovina Bank;Indovina Bank CN Da Nang
Indovina Bank;Indovina Bank CN Dong Da
Indovina Bank;Indovina Bank CN Đồng Nai
Indovina Bank;Indovina Bank CN Ha Noi
Indovina Bank;Indovina Bank CN Hội An
Indovina Bank;Indovina Bank CN Mỹ Đình
Indovina Bank;Indovina Bank CN Tan Binh
Indovina Bank;Indovina Bank CN Thiên Long
Indovina Bank;Indovina Bank Hai Phong
Indovina Bank;Indovina Bank HCM
Industrial Bank of Korea;Industrial Bank of Korea TP HCM
JPMorgan Chase Bank, N.A. HCM Branch;Ngân hàng JPMorgan Chase N.A - Chi nhánh TP HCM Chi nhánh TP HCM
Kho Bạc Nhà Nước;An Hai  Hai Phong
Kho Bạc Nhà Nước;An Lao  Hai Phong
Kho Bạc Nhà Nước;Binh phuoc
Kho Bạc Nhà Nước;Cao Bằng
Kho Bạc Nhà Nước;Cat Ba  Hai Phong
Kho Bạc Nhà Nước;Cat Hai  Hai Phong
Kho Bạc Nhà Nước;Chi cục Sóc Trăng
Kho Bạc Nhà Nước;CN Hà Tây
Kho Bạc Nhà Nước;CN Hoan Kiem  HN
Kho Bạc Nhà Nước;Do Son Hai Phong
Kho Bạc Nhà Nước;Đồng tháp
Kho Bạc Nhà Nước;Hai Chau Da Nang
Kho Bạc Nhà Nước;Hậu Giang
Kho Bạc Nhà Nước;Hong Bang  Hai Phong
Kho Bạc Nhà Nước;KBNN Kiên Giang
Kho Bạc Nhà Nước;Kho Bac Nhà nước .
Kho Bạc Nhà Nước;Kho Bac Nhà nước Ban Giao dịch
Kho Bạc Nhà Nước;Kho Bac Nhà nước KBNN
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực I
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực II
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực III - Phòng Kế toán NN
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực III - Phòng Nghiệp vụ 2
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực IV
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực IX - Phòng Kế toán NN
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực IX - Phòng Nghiệp vụ 2
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực V
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực VI - Phòng Kế toán NN
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực VI - Phòng Nghiệp vụ 2
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực VII - Phòng Kế toán NN
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực VII - Phòng Nghiệp vụ 2
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực VIII - Phòng Kế toán NN
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực VIII - Phòng Nghiệp vụ 2
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực X - Phòng Kế toán NN
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực X - Phòng Nghiệp vụ 2
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực XI - Phòng Kế toán NN
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực XI - Phòng Nghiệp vụ 2
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực XII - Phòng Kế toán NN
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực XII - Phòng Nghiệp vụ 2
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực XIII - Phòng Kế toán NN
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực XIII - Phòng Nghiệp vụ 2
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực XIV - Phòng Kế toán NN
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực XIV - Phòng Nghiệp vụ 2
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực XIX - Phòng Kế toán NN
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực XIX - Phòng Nghiệp vụ 2
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực XV - Phòng Kế toán NN
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực XV - Phòng Nghiệp vụ 2
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực XVI
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực XVII
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực XVIII - Phòng Kế toán NN
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực XVIII - Phòng Nghiệp vụ 2
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực XX - Phòng Kế toán NN
Kho Bạc Nhà Nước;Kho Bac Nhà nước Khu vực XX - Phòng Nghiệp vụ 2
Kho Bạc Nhà Nước;Kien An  Hai Phong
Kho Bạc Nhà Nước;Kien Thuy  Hai Phong
Kho Bạc Nhà Nước;Kon Tum
Kho Bạc Nhà Nước;Le Chan  Hai Phong
Kho Bạc Nhà Nước;Ngo Quyen Hai Phong
Kho Bạc Nhà Nước;Phòng Giao dịch
Kho Bạc Nhà Nước;Thuy Nguyen  Hai Phong
Kho Bạc Nhà Nước;Tiên Lãng Hải Phòng
Kho Bạc Nhà Nước;Tỉnh An Giang
Kho Bạc Nhà Nước;Tỉnh Bà Rịa Vũng Tàu
Kho Bạc Nhà Nước;Tỉnh Bắc cạn
Kho Bạc Nhà Nước;Tỉnh Bạc Liêu
Kho Bạc Nhà Nước;Tỉnh bắc ninh
Kho Bạc Nhà Nước;Tỉnh Bến Tre
Kho Bạc Nhà Nước;Tỉnh bình dương
Kho Bạc Nhà Nước;Tỉnh Bình Thuận
Kho Bạc Nhà Nước;Tỉnh Đắc Nông
Kho Bạc Nhà Nước;Tỉnh Gia lai
Kho Bạc Nhà Nước;Tỉnh Hà Giang
Kho Bạc Nhà Nước;Tỉnh Hà Nam
Kho Bạc Nhà Nước;Tỉnh hải dương
Kho Bạc Nhà Nước;Tỉnh Hoà bình
Kho Bạc Nhà Nước;Tỉnh Kon Tum
Kho Bạc Nhà Nước;Tỉnh Lào cai
Kho Bạc Nhà Nước;Tỉnh Nam Định
Kho Bạc Nhà Nước;Tỉnh Ninh Thuận
Kho Bạc Nhà Nước;Tỉnh Phú Yên
Kho Bạc Nhà Nước;Tỉnh quảng nam
Kho Bạc Nhà Nước;Tỉnh Quảng trị
Kho Bạc Nhà Nước;Tỉnh Tây Ninh
Kho Bạc Nhà Nước;Tỉnh Thái Bình
Kho Bạc Nhà Nước;Tỉnh Trà Vinh
Kho Bạc Nhà Nước;Tỉnh Vĩnh Phúc
Kho Bạc Nhà Nước;TP bắc ninh
Kho Bạc Nhà Nước;TP Biên Hòa
Kho Bạc Nhà Nước;TP Nha Trang
Kho Bạc Nhà Nước;TP Thái Nguyên
Kho Bạc Nhà Nước;TP thanh hóa
Kho Bạc Nhà Nước;Vinh Bao Hai Phong
Korea Exchange Bank;Ngân hàng KEB HANA CN Hà Nội
Malayan Banking Berhad;Malayan Banking Berhad TP HCM
Malayan Banking Berhad;MAY BANK Ha Noi
Mega ICBC Bank;NH ICBC TP HCM
Mizuho Corporate Bank;MIZUHO  BANK Ha Noi
Mizuho Corporate Bank - TP HCM;Mizuho Corporate Bank TP Hồ Chí Minh
